"West Palm Beach/Palm Beach, FL",11,65
"Jackson, WY",11,4
"Myrtle Beach, SC",11,12
"Miami, FL",11,183
"Yuma, AZ",11,11
"Mosinee, WI",11,5
"El Paso, TX",11,62
"Longview, TX",11,1
"Toledo, OH",11,3
"Buffalo, NY",11,71
"Memphis, TN",11,220
"Cedar Rapids/Iowa City, IA",11,16
"Kotzebue, AK",11,3
"Jackson/Vicksburg, MS",11,34
"Bozeman, MT",11,12
"Anchorage, AK",11,44
"Sioux Falls, SD",11,20
"Boston, MA",11,335
"Alexandria, LA",11,10
"Bangor, ME",11,1
"Fresno, CA",11,33
"Aguadilla, PR",11,4
"Bellingham, WA",11,1
"Atlanta, GA",11,1183
"Barrow, AK",11,3
"Evansville, IN",11,12
"Ontario, CA",11,68
"Tulsa, OK",11,59
"Greer, SC",11,33
"Manhattan/Ft. Riley, KS",11,3
"St. Louis, MO",11,173
"Cedar City, UT",11,2
"Mobile, AL",11,20
"Providence, RI",11,59
"Columbus, MS",11,2
"Monroe, LA",11,8
"Fayetteville, NC",11,12
"Burbank, CA",11,75
"New Orleans, LA",11,114
"Marquette, MI",11,4
"Cleveland, OH",11,165
"Valparaiso, FL",11,22
"Colorado Springs, CO",11,35
"Orlando, FL",11,319
"Medford, OR",11,12
"Erie, PA",11,3
"Los Angeles, CA",11,560
"Tallahassee, FL",11,14
"Charlotte, NC",11,395
"Islip, NY",11,21
"Nome, AK",11,3
"State College, PA",11,3
"Sitka, AK",11,3
"Spokane, WA",11,38
"Helena, MT",11,5
"Melbourne, FL",11,5
"Hilo, HI",11,20
"Allentown/Bethlehem/Easton, PA",11,12
"Asheville, NC",11,15
"Lihue, HI",11,29
"Tampa, FL",11,184
"Louisville, KY",11,51
"Key West, FL",11,4
"Fargo, ND",11,20
"Chattanooga, TN",11,13
"Eau Claire, WI",11,3
"San Francisco, CA",11,391
"Lake Charles, LA",11,3
"Brownsville, TX",11,7
"Petersburg, AK",11,2
"Ponce, PR",11,2
"Indianapolis, IN",11,100
"Mission/McAllen/Edinburg, TX",11,13
"Fort Lauderdale, FL",11,159
"New Bern/Morehead/Beaufort, NC",11,3
"Cordova, AK",11,2
"Charleston/Dunbar, WV",11,15
"Kansas City, MO",11,144
"Meridian, MS",11,2
"Bloomington/Normal, IL",11,14
"Birmingham, AL",11,60
"Atlantic City, NJ",11,2
"Salt Lake City, UT",11,353
"Charleston, SC",11,36
"Boise, ID",11,43
"Billings, MT",11,10
"Norfolk, VA",11,48
"Philadelphia, PA",11,249
"Las Vegas, NV",11,409
"Chico, CA",11,4
"Montrose/Delta, CO",11,3
"Branson, MO",11,2
"Savannah, GA",11,28
"Great Falls, MT",11,5
"San Angelo, TX",11,1
"Richmond, VA",11,53
"Santa Maria, CA",11,4
"Wichita, KS",11,34
"Syracuse, NY",11,29
"Abilene, TX",11,7
"Roanoke, VA",11,10
"Hancock/Houghton, MI",11,2
"Portland, OR",11,143
"St. George, UT",11,7
"Rock Springs, WY",11,5
"Jacksonville/Camp Lejeune, NC",11,5
"Santa Fe, NM",11,3
"Washington, DC",11,454
"Milwaukee, WI",11,125
"Peoria, IL",11,10
"Pittsburgh, PA",11,108
"Elmira/Corning, NY",11,3
"Columbia, SC",11,25
"Daytona Beach, FL",11,4
"Albany, GA",11,3
"Ithaca/Cortland, NY",11,3
"Midland/Odessa, TX",11,23
"College Station/Bryan, TX",11,1
"Burlington, VT",11,15
"Shreveport, LA",11,14
"Dallas/Fort Worth, TX",11,750
"Portland, ME",11,15
"La Crosse, WI",11,8
"Bristol/Johnson City/Kingsport, TN",11,11
"Valdosta, GA",11,3
"Dubuque, IA",11,3
"Kalamazoo, MI",11,8
"Columbus, GA",11,6
"Panama City, FL",11,19
"Sarasota/Bradenton, FL",11,16
"Charlottesville, VA",11,3
"Albany, NY",11,33
"Newport News/Williamsburg, VA",11,15
"Tyler, TX",11,2
"New York, NY",11,571
"San Juan, PR",11,46
"Ashland, WV",11,2
"Lansing, MI",11,10
"Cody, WY",11,3
"San Antonio, TX",11,114
"Raleigh/Durham, NC",11,148
"Idaho Falls, ID",11,9
"El Centro, CA",11,2
"Juneau, AK",11,11
"Binghamton, NY",11,3
"Klamath Falls, OR",11,3
"Dallas, TX",11,136
"Madison, WI",11,25
"Rochester, MN",11,11
"Christiansted, VI",11,1
"Oakland, CA",11,131
"Bend/Redmond, OR",11,8
"Montgomery, AL",11,13
"Gainesville, FL",11,7
"Omaha, NE",11,69
"Austin, TX",11,124
"Kahului, HI",11,54
"Baltimore, MD",11,301
"Lynchburg, VA",11,2
"Eugene, OR",11,14
"San Diego, CA",11,215
"Florence, SC",11,1
"Traverse City, MI",11,12
"Kona, HI",11,30
"San Jose, CA",11,115
"Harlingen/San Benito, TX",11,15
"Santa Barbara, CA",11,28
"Twin Falls, ID",11,4
"Casper, WY",11,6
"Modesto, CA",11,5
"Missoula, MT",11,9
"Arcata/Eureka, CA",11,5
"Kodiak, AK",11,2
"Redding, CA",11,4
"Green Bay, WI",11,16
"White Plains, NY",11,32
"Jacksonville, FL",11,91
"Inyokern, CA",11,3
"North Bend/Coos Bay, OR",11,2
"Palm Springs, CA",11,31
"Fairbanks, AK",11,11
"Grand Forks, ND",11,7
"Durango, CO",11,9
"Knoxville, TN",11,39
"Nashville, TN",11,157
"Fort Wayne, IN",11,13
"Deadhorse, AK",11,2
"Carlsbad, CA",11,6
"Hayden, CO",11,2
"Lewisburg, WV",11,2
"Springfield, MO",11,24
"Fort Smith, AR",11,6
"Santa Ana, CA",11,122
"Kalispell, MT",11,6
"Muskegon, MI",11,3
"Lubbock, TX",11,22
"Lexington, KY",11,26
"Texarkana, AR",11,3
"Des Moines, IA",11,38
"Bismarck/Mandan, ND",11,11
"Phoenix, AZ",11,511
"Cheyenne, WY",11,2
"Detroit, MI",11,456
"Fayetteville, AR",11,42
"Duluth, MN",11,9
"Killeen, TX",11,11
"Little Rock, AR",11,56
"Minot, ND",11,5
"Butte, MT",11,2
"Lincoln, NE",11,9
"Albuquerque, NM",11,95
"Ketchikan, AK",11,6
"Tunica, MS",11,1
"Grand Rapids, MI",11,36
"Rochester, NY",11,37
"Flint, MI",11,14
"Lafayette, LA",11,15
"Yakutat, AK",11,2
"Springfield, IL",11,5
"Gunnison, CO",11,1
"Fort Myers, FL",11,73
"Dayton, OH",11,39
"Adak Island, AK",11,1
"Laredo, TX",11,8
"Newark, NJ",11,323
"Rapid City, SD",11,16
"Saginaw/Bay City/Midland, MI",11,12
"Scranton/Wilkes-Barre, PA",11,6
"Oklahoma City, OK",11,64
"Long Beach, CA",11,38
"Flagstaff, AZ",11,7
"Champaign/Urbana, IL",11,6
"Pasco/Kennewick/Richland, WA",11,10
"Cincinnati, OH",11,154
"Appleton, WI",11,13
"Hartford, CT",11,66
"Seattle, WA",11,272
"Denver, CO",11,677
"Reno, NV",11,60
"Elko, NV",11,4
"Augusta, GA",11,12
"Wrangell, AK",11,2
"Pensacola, FL",11,31
"Pocatello, ID",11,4
"Brunswick, GA",11,3
"Grand Junction, CO",11,16
"Wilmington, NC",11,13
"Moline, IL",11,18
"Sacramento, CA",11,123
"Aspen, CO",11,5
"Columbus, OH",11,89
"Houston, TX",11,691
"Honolulu, HI",11,133
"Baton Rouge, LA",11,27
"Lewiston, ID",11,2
"Paducah, KY",11,2
"Roswell, NM",11,3
"Charlotte Amalie, VI",11,5
"Bethel, AK",11,3
"San Luis Obispo, CA",11,14
"Chicago, IL",11,1096
"Columbia, MO",11,3
"Manchester, NH",11,38
"Greensboro/High Point, NC",11,28
"Gillette, WY",11,4
"Tucson, AZ",11,61
"Gulfport/Biloxi, MS",11,18
"Corpus Christi, TX",11,24
"Newburgh/Poughkeepsie, NY",11,6
"South Bend, IN",11,14
"Monterey, CA",11,14
"Minneapolis, MN",11,366
"Eagle, CO",11,2
"Crescent City, CA",11,1
"Amarillo, TX",11,21
"Huntsville, AL",11,32
"Bakersfield, CA",11,9
"Harrisburg, PA",11,20
"Sun Valley/Hailey/Ketchum, ID",11,5
"Dothan, AL",11,4
"Akron, OH",11,22
